Policy,Benchmark,IPC,L1D_Miss_Rate,L2_Miss_Rate,L1D_Avg_Miss_Latency,L2_Avg_Miss_Latency,L2_Replacements,L2_Hits,L2_Misses,L2_Accesses,L2_Demand_Hits,L2_Demand_Misses,L2_Demand_Accesses,L2_Writebacks,L2_Tags_In_Use,L2_Avg_Occupancy,L2_Total_Refs,L2_Sampled_Refs,L2_Avg_Refs,L1D_Hits,L1D_Misses,L1D_Accesses,L1D_Replacements,Num_Cycles,Committed_Insts
dsb_bc2,deepsjeng,0.038781,0.125,1.0,83015.99206,80515.992868,14285709.0,,14285712.0,14285712.0,,14285712.0,14285712.0,14285708.0,32768.0,1.0,28633000.0,14318477.0,1.999724,99999977.0,14285714.0,114285691.0,14285712.0,0.0,
dsb_bc2,exchange2,1.852124,1e-06,0.007256,18870.967742,84340.425532,0.0,12860.0,94.0,12954.0,12860.0,94.0,12954.0,,5513.712843,0.168265,243720.0,5539.0,44.000722,23652888.0,31.0,23652919.0,21.0,0.0,
dsb_bc2,imagick,2.014626,0.002714,0.723388,56539.875127,75212.492132,30226.0,11543.0,30187.0,41730.0,11543.0,30187.0,41730.0,30198.0,32768.0,1.0,239596.0,62994.0,3.803473,16597578.0,45166.0,16642744.0,41343.0,0.0,
dsb_bc2,lbm,0.242546,0.080115,0.98497,101606.739476,101331.982406,6766507.0,103251.0,6766342.0,6869593.0,103251.0,6766342.0,6869593.0,6421006.0,32768.0,1.0,13802392.0,6799275.0,2.02998,79639271.0,6935995.0,86575266.0,6869462.0,0.0,
dsb_bc2,leela,2.277815,0.00013,0.027105,16246.871741,87234.042553,50.0,1687.0,47.0,1734.0,1687.0,47.0,1734.0,50.0,32768.0,1.0,124110.0,32818.0,3.781766,14724828.0,1918.0,14726746.0,1731.0,0.0,
dsb_bc2,mcf,1.429443,0.006461,0.303056,68617.27018,90920.912357,229220.0,602281.0,261893.0,864174.0,602281.0,261893.0,864174.0,227458.0,31709.939265,0.967711,1727164.0,261988.0,6.592531,62447229.0,406122.0,62853351.0,332769.0,139914648.0,
dsb_bc2,nab,1.162097,0.004375,0.052787,43973.109691,81524.761643,29316.0,523209.0,29158.0,552367.0,523209.0,29158.0,552367.0,29220.0,32768.0,1.0,5216361.0,62084.0,84.02102,15812948.0,69486.0,15882434.0,46915.0,0.0,
dsb_bc2,omnetpp,0.919782,0.0405,0.017659,15467.434493,83290.46282,22158.0,1228384.0,22082.0,1250466.0,1228384.0,22082.0,1250466.0,22039.0,32768.0,1.0,9887985.0,54926.0,180.023759,20500896.0,865333.0,21366229.0,532731.0,0.0,
dsb_bc2,perlbench,0.616526,0.031324,0.031027,21223.289716,84425.473764,63684.0,1982524.0,63481.0,2046005.0,1982524.0,63481.0,2046005.0,54202.0,32768.0,1.0,15564167.0,96452.0,161.36697,20500527.0,662919.0,21163446.0,468676.0,0.0,
dsb_bc2,xalancbmk,1.007628,0.133543,0.006478,13570.250961,84177.855393,11109.0,1690469.0,11023.0,1701492.0,1690469.0,11023.0,1701492.0,10879.0,32768.0,1.0,15370198.0,43877.0,350.301935,16433393.0,2532812.0,18966205.0,1164000.0,0.0,
dsb_bc2,xz,2.017924,0.014124,1.0,73260.424621,74311.122233,42954.0,,42959.0,42959.0,,42959.0,42959.0,,32768.0,1.0,150954.0,75722.0,1.993529,14992265.0,214780.0,15207045.0,42957.0,0.0,
dsb_bc4,deepsjeng,0.038781,0.125,1.0,83015.94229,80515.943098,14285710.0,,14285712.0,14285712.0,,14285712.0,14285712.0,14285709.0,32768.0,1.0,28632935.0,14318478.0,1.999719,99999977.0,14285714.0,114285691.0,14285712.0,0.0,
dsb_bc4,exchange2,1.852123,1e-06,0.007179,16532.258065,84311.827957,0.0,12861.0,93.0,12954.0,12861.0,93.0,12954.0,,5524.807365,0.168604,243841.0,5550.0,43.935315,23652888.0,31.0,23652919.0,21.0,0.0,
dsb_bc4,imagick,2.01478,0.002714,0.723388,56518.930169,75181.154139,30227.0,11543.0,30187.0,41730.0,11543.0,30187.0,41730.0,30199.0,32768.0,1.0,239599.0,62995.0,3.803461,16597578.0,45166.0,16642744.0,41343.0,0.0,
dsb_bc4,lbm,0.242571,0.080113,0.984968,101578.936052,101301.678024,6766485.0,103260.0,6766290.0,6869550.0,103260.0,6766290.0,6869550.0,6420997.0,32768.0,1.0,13802421.0,6799253.0,2.029991,79639560.0,6935791.0,86575351.0,6869418.0,0.0,
dsb_bc4,leela,2.277815,0.00013,0.027105,16246.871741,87234.042553,50.0,1687.0,47.0,1734.0,1687.0,47.0,1734.0,50.0,32768.0,1.0,124109.0,32818.0,3.781736,14724828.0,1918.0,14726746.0,1731.0,0.0,
dsb_bc4,mcf,1.42925,0.006462,0.303054,68643.754447,90958.085776,229237.0,602284.0,261892.0,864176.0,602284.0,261892.0,864176.0,227458.0,31711.21363,0.967749,1727239.0,262005.0,6.592389,62447048.0,406137.0,62853185.0,332771.0,139933496.0,
dsb_bc4,nab,1.162072,0.004375,0.052787,43949.848877,81536.302216,29316.0,523209.0,29158.0,552367.0,523209.0,29158.0,552367.0,29220.0,32768.0,1.0,5216371.0,62084.0,84.021181,15813020.0,69480.0,15882500.0,46915.0,0.0,
dsb_bc4,omnetpp,0.920059,0.040488,0.01767,15465.631443,83080.062475,22166.0,1227997.0,22089.0,1250086.0,1227997.0,22089.0,1250086.0,22046.0,32768.0,1.0,9887272.0,54934.0,179.984563,20500060.0,865035.0,21365095.0,532504.0,0.0,
dsb_bc4,perlbench,0.616739,0.031327,0.03104,21228.596113,84224.9496,63694.0,1981999.0,63492.0,2045491.0,1981999.0,63492.0,2045491.0,54217.0,32768.0,1.0,15563174.0,96462.0,161.339947,20500755.0,662999.0,21163754.0,468696.0,0.0,
